temperature,dewpoint,pressure,wind_speed,wind_dir,wind_dir_degrees,visibility,humidity,max_temperature,min_temperature,temperature_normal,min_temperature_normal,max_temperature_normal,min_temperature_record,max_temperature_record,min_temperature_record_year,max_temperature_record_year,max_humidity,min_humidity,max_dewpoint,min_dewpoint,max_pressure,min_pressure,max_wind_speed,min_wind_speed,max_visibility,min_visibility,fog,hail,snow,rain,thunder,tornado,snowfall,monthtodatesnowfall,since1julsnowfall,snowdepth,precip,preciprecord,preciprecordyear,precipnormal,since1janprecipitation,since1janprecipitationnormal,monthtodateprecipitation,monthtodateprecipitationnormal,precipsource,gdegreedays,heatingdegreedays,coolingdegreedays,heatingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,coolingdegreedaysnormal,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,avgoktas,icon,epoch,pretty,rfc822,iso8601,year,month,day,yday,hour,min,sec,monthname,monthname_short,weekday,weekday_short,ampm,tz_short,tz_long,tz_offset_text,tz_offset_hours
73,69,29.78,4,null,null,4,null,77,69,null,70,87,66,102,1996,2001,100,68,72,66,29.83,29.74,9,0,7,1,0,0,0,1,0,0,0,null,null,null,0.67,0.67,2018,0.1,null,null,null,null,null,23,0,8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8,rain,1531281600,"12:00 PM CST on July 11, 2018","Wed, 11 Jul 2018 12:00:00 +0800",2018-07-11T12:00:00+0800,2018,7,11,191,12,0,0,July,Jul,Wednesday,Wed,PM,CST,Asia/Shanghai,800,8
75,71,29.71,3,null,null,4,null,81,69,null,70,87,66,104,1996,2001,100,64,73,69,29.77,29.68,7,0,6,1,0,0,0,1,0,0,0,null,null,null,0.08,0.39,2012,0.12,null,null,null,null,null,25,0,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6,rain,1531368000,"12:00 PM CST on July 12, 2018","Thu, 12 Jul 2018 12:00:00 +0800",2018-07-12T12:00:00+0800,2018,7,12,192,12,0,0,July,Jul,Thursday,Thu,PM,CST,Asia/Shanghai,800,8
81,74,29.66,5,null,null,5,null,89,73,null,70,87,64,104,1999,2015,94,60,77,70,29.71,29.62,11,0,6,2,0,0,0,1,0,0,0,null,null,null,0.04,0.63,2014,0.11,null,null,null,null,null,31,0,16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,rain,1531454400,"12:00 PM CST on July 13, 2018","Fri, 13 Jul 2018 12:00:00 +0800",2018-07-13T12:00:00+0800,2018,7,13,193,12,0,0,July,Jul,Friday,Fri,PM,CST,Asia/Shanghai,800,8
84,75,29.64,4,null,null,4,null,91,76,null,70,87,66,104,2004,2002,94,47,77,71,29.68,29.59,7,0,8,2,0,0,0,0,0,0,0,null,null,null,0,0.16,2016,0.1,null,null,null,null,null,34,0,18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,mostlysunny,1531540800,"12:00 PM CST on July 14, 2018","Sat, 14 Jul 2018 12:00:00 +0800",2018-07-14T12:00:00+0800,2018,7,14,194,12,0,0,July,Jul,Saturday,Sat,PM,CST,Asia/Shanghai,800,8
85,76,29.66,5,null,null,4,null,93,77,null,71,87,64,100,2008,2002,100,46,79,73,29.71,29.62,9,0,9,1,0,0,0,0,0,0,0,null,null,null,0,0.87,2013,0.07,null,null,null,null,null,35,0,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8,cloudy,1531627200,"12:00 PM CST on July 15, 2018","Sun, 15 Jul 2018 12:00:00 +0800",2018-07-15T12:00:00+0800,2018,7,15,195,12,0,0,July,Jul,Sunday,Sun,PM,CST,Asia/Shanghai,800,8
80,76,29.65,6,null,null,6,null,86,75,null,71,87,68,96,2003,1999,100,71,79,73,29.71,29.59,25,2,9,2,0,0,0,1,1,0,0,null,null,null,0.79,0.79,2018,0.1,null,null,null,null,null,30,0,16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,tstorms,1531713600,"12:00 PM CST on July 16, 2018","Mon, 16 Jul 2018 12:00:00 +0800",2018-07-16T12:00:00+0800,2018,7,16,196,12,0,0,July,Jul,Monday,Mon,PM,CST,Asia/Shanghai,800,8
75,75,29.65,6,null,null,5,null,77,73,null,71,87,66,98,2013,1999,100,89,75,72,29.71,29.59,13,0,6,1,1,0,0,1,1,0,0,null,null,null,1.22,1.22,2018,0.09,null,null,null,null,null,25,0,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,tstorms,1531800000,"12:00 PM CST on July 17, 2018","Tue, 17 Jul 2018 12:00:00 +0800",2018-07-17T12:00:00+0800,2018,7,17,197,12,0,0,July,Jul,Tuesday,Tue,PM,CST,Asia/Shanghai,800,8
80,77,29.67,2,null,null,2,null,86,75,null,71,87,68,96,1998,1999,100,68,81,72,29.71,29.62,7,0,4,1,0,0,0,1,1,0,0,null,null,null,1.06,1.22,2015,0.07,null,null,null,null,null,30,0,16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,tstorms,1531886400,"12:00 PM CST on July 18, 2018","Wed, 18 Jul 2018 12:00:00 +0800",2018-07-18T12:00:00+0800,2018,7,18,198,12,0,0,July,Jul,Wednesday,Wed,PM,CST,Asia/Shanghai,800,8
84,78,29.66,4,null,null,3,null,91,76,null,71,87,68,98,1998,2014,94,65,82,74,29.71,29.62,16,0,6,1,0,0,0,1,1,0,0,null,null,null,0.24,0.43,2016,0.08,null,null,null,null,null,34,0,18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6,tstorms,1531972800,"12:00 PM CST on July 19, 2018","Thu, 19 Jul 2018 12:00:00 +0800",2018-07-19T12:00:00+0800,2018,7,19,199,12,0,0,July,Jul,Thursday,Thu,PM,CST,Asia/Shanghai,800,8
86,79,29.59,6,null,null,4,null,95,78,null,71,87,68,96,1997,2014,94,52,82,76,29.62,29.56,11,2,11,1,0,0,0,1,1,0,0,null,null,null,0,4.96,2016,0.08,null,null,null,null,null,36,0,22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,tstorms,1532059200,"12:00 PM CST on July 20, 2018","Fri, 20 Jul 2018 12:00:00 +0800",2018-07-20T12:00:00+0800,2018,7,20,200,12,0,0,July,Jul,Friday,Fri,PM,CST,Asia/Shanghai,800,8
89,78,29.64,6,null,null,4,null,96,82,null,71,87,68,96,2001,2014,89,43,81,73,29.68,29.6,13,2,12,2,0,0,0,1,1,0,0,null,null,null,0,3.15,2012,0.08,null,null,null,null,null,39,0,24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,tstorms,1532145600,"12:00 PM CST on July 21, 2018","Sat, 21 Jul 2018 12:00:00 +0800",2018-07-21T12:00:00+0800,2018,7,21,201,12,0,0,July,Jul,Saturday,Sat,PM,CST,Asia/Shanghai,800,8
86,76,29.72,6,null,null,4,null,91,80,null,71,86,68,98,2001,2000,89,47,79,72,29.77,29.68,18,2,15,1,0,0,0,1,1,0,0,null,null,null,0,0.16,2015,0.09,null,null,null,null,null,36,0,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,tstorms,1532232000,"12:00 PM CST on July 22, 2018","Sun, 22 Jul 2018 12:00:00 +0800",2018-07-22T12:00:00+0800,2018,7,22,202,12,0,0,July,Jul,Sunday,Sun,PM,CST,Asia/Shanghai,800,8
86,75,29.7,4,null,null,5,null,93,78,null,71,86,68,104,2006,1999,94,46,79,72,29.74,29.62,9,0,18,1,0,0,0,1,0,0,0,null,null,null,0.01,0.01,2018,0.11,null,null,null,null,null,36,0,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,rain,1532318400,"12:00 PM CST on July 23, 2018","Mon, 23 Jul 2018 12:00:00 +0800",2018-07-23T12:00:00+0800,2018,7,23,203,12,0,0,July,Jul,Monday,Mon,PM,CST,Asia/Shanghai,800,8
82,76,29.5,7,null,null,6,null,88,75,null,71,86,66,107,2006,1999,100,60,79,74,29.65,29.42,16,2,19,1,0,0,0,1,1,0,0,null,null,null,1.54,1.54,2018,0.09,null,null,null,null,null,32,0,16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6,tstorms,1532404800,"12:00 PM CST on July 24, 2018","Tue, 24 Jul 2018 12:00:00 +0800",2018-07-24T12:00:00+0800,2018,7,24,204,12,0,0,July,Jul,Tuesday,Tue,PM,CST,Asia/Shanghai,800,8
84,73,29.57,6,null,null,10,null,93,75,null,71,86,66,100,2006,1999,100,32,75,67,29.65,29.5,9,2,19,1,0,0,0,1,1,0,0,null,null,null,0.28,0.47,2016,0.08,null,null,null,null,null,34,0,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,tstorms,1532491200,"12:00 PM CST on July 25, 2018","Wed, 25 Jul 2018 12:00:00 +0800",2018-07-25T12:00:00+0800,2018,7,25,205,12,0,0,July,Jul,Wednesday,Wed,PM,CST,Asia/Shanghai,800,8
84,70,29.69,5,null,null,14,null,95,73,null,71,86,64,96,2004,1999,88,29,77,65,29.74,29.65,9,2,19,6,0,0,0,0,0,0,0,null,null,null,0,0.04,2017,0.08,null,null,null,null,null,34,0,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,mostlysunny,1532577600,"12:00 PM CST on July 26, 2018","Thu, 26 Jul 2018 12:00:00 +0800",2018-07-26T12:00:00+0800,2018,7,26,206,12,0,0,July,Jul,Thursday,Thu,PM,CST,Asia/Shanghai,800,8
84,75,29.77,5,null,null,5,null,91,77,null,71,86,62,96,2004,1999,94,51,79,72,29.83,29.71,9,2,6,2,0,0,0,1,0,0,0,null,null,null,0,1.1,2015,0.09,null,null,null,null,null,34,0,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,rain,1532664000,"12:00 PM CST on July 27, 2018","Fri, 27 Jul 2018 12:00:00 +0800",2018-07-27T12:00:00+0800,2018,7,27,207,12,0,0,July,Jul,Friday,Fri,PM,CST,Asia/Shanghai,800,8
85,74,29.74,4,null,null,4,null,93,77,null,71,86,66,102,2001,2003,100,44,77,72,29.8,29.68,7,2,7,2,0,0,0,0,0,0,0,null,null,null,0,0.02,2015,0.1,null,null,null,null,null,35,0,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,mostlysunny,1532750400,"12:00 PM CST on July 28, 2018","Sat, 28 Jul 2018 12:00:00 +0800",2018-07-28T12:00:00+0800,2018,7,28,208,12,0,0,July,Jul,Saturday,Sat,PM,CST,Asia/Shanghai,800,8
86,76,29.69,3,null,null,4,null,95,78,null,71,86,68,100,2017,1999,94,47,79,72,29.74,29.62,7,2,5,1,0,0,0,0,0,0,0,null,null,null,0,0.79,2014,0.09,null,null,null,null,null,36,0,22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,clear,1532836800,"12:00 PM CST on July 29, 2018","Sun, 29 Jul 2018 12:00:00 +0800",2018-07-29T12:00:00+0800,2018,7,29,209,12,0,0,July,Jul,Sunday,Sun,PM,CST,Asia/Shanghai,800,8
88,78,29.67,3,null,null,4,null,96,80,null,71,86,64,96,2004,2000,94,44,79,75,29.71,29.62,7,0,6,1,0,0,0,0,0,0,0,null,null,null,0,0.83,2014,0.1,null,null,null,null,null,38,0,23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,partlycloudy,1532923200,"12:00 PM CST on July 30, 2018","Mon, 30 Jul 2018 12:00:00 +0800",2018-07-30T12:00:00+0800,2018,7,30,210,12,0,0,July,Jul,Monday,Mon,PM,CST,Asia/Shanghai,800,8
89,77,29.68,4,null,null,4,null,98,80,null,70,86,64,98,2004,2000,94,40,79,73,29.72,29.62,13,0,6,2,0,0,0,0,0,0,0,null,null,null,0,0.91,2013,0.11,null,null,null,null,null,39,0,24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,mostlysunny,1533009600,"12:00 PM CST on July 31, 2018","Tue, 31 Jul 2018 12:00:00 +0800",2018-07-31T12:00:00+0800,2018,7,31,211,12,0,0,July,Jul,Tuesday,Tue,PM,CST,Asia/Shanghai,800,8
